car_id,problem_category
248150,LANE DEPARTURE
64949,LANE DEPARTURE
73756,LANE DEPARTURE
140731,LANE DEPARTURE
135937,LANE DEPARTURE
164327,LANE DEPARTURE
131668,LANE DEPARTURE
36312,LANE DEPARTURE
181881,LANE DEPARTURE
187586,LANE DEPARTURE
232769,LANE DEPARTURE
181156,LANE DEPARTURE
73361,LANE DEPARTURE
273624,LANE DEPARTURE
58827,LANE DEPARTURE
29099,LANE DEPARTURE
278273,LANE DEPARTURE
97507,LANE DEPARTURE
166176,LANE DEPARTURE
212162,LANE DEPARTURE
296214,LANE DEPARTURE
267040,LANE DEPARTURE
126303,LANE DEPARTURE
177639,LANE DEPARTURE
268402,LANE DEPARTURE
77162,LANE DEPARTURE
161116,LANE DEPARTURE
187248,LANE DEPARTURE
110099,LANE DEPARTURE
13139,LANE DEPARTURE
226171,LANE DEPARTURE
246218,LANE DEPARTURE
131926,LANE DEPARTURE
119257,LANE DEPARTURE
85249,LANE DEPARTURE
81936,LANE DEPARTURE
51769,LANE DEPARTURE
149335,LANE DEPARTURE
220586,LANE DEPARTURE
99225,LANE DEPARTURE
63989,LANE DEPARTURE
291266,LANE DEPARTURE
102947,LANE DEPARTURE
51996,LANE DEPARTURE
197783,LANE DEPARTURE
173000,LANE DEPARTURE
12222,LANE DEPARTURE
27273,LANE DEPARTURE
161835,LANE DEPARTURE
11847,LANE DEPARTURE
167678,LANE DEPARTURE
173330,LANE DEPARTURE
261328,LANE DEPARTURE
168099,LANE DEPARTURE
224377,LANE DEPARTURE
25942,LANE DEPARTURE
254150,LANE DEPARTURE
273374,LANE DEPARTURE
218959,LANE DEPARTURE
244775,LANE DEPARTURE
87075,LANE DEPARTURE
126003,LANE DEPARTURE
238155,LANE DEPARTURE
136308,LANE DEPARTURE
48728,LANE DEPARTURE
223569,LANE DEPARTURE
298646,LANE DEPARTURE
37144,LANE DEPARTURE
258981,LANE DEPARTURE
144202,LANE DEPARTURE
193678,LANE DEPARTURE
105442,LANE DEPARTURE
92152,LANE DEPARTURE
0,LANE DEPARTURE
108313,LANE DEPARTURE
117160,LANE DEPARTURE
150234,LANE DEPARTURE
252040,LANE DEPARTURE
229297,LANE DEPARTURE
59865,LANE DEPARTURE
84244,LANE DEPARTURE
114874,LANE DEPARTURE
254009,LANE DEPARTURE
28799,LANE DEPARTURE
252572,LANE DEPARTURE
150635,AIR BAGS
147353,AIR BAGS
190338,AIR BAGS
165403,AIR BAGS
257418,AIR BAGS
112378,AIR BAGS
105019,AIR BAGS
31924,AIR BAGS
291287,AIR BAGS
31600,AIR BAGS
270783,AIR BAGS
63491,AIR BAGS
124693,AIR BAGS
94383,AIR BAGS
31396,AIR BAGS
25017,AIR BAGS
244202,AIR BAGS
96499,AIR BAGS
288276,AIR BAGS
216230,AIR BAGS
161993,AIR BAGS
130738,AIR BAGS
279606,AIR BAGS
49646,AIR BAGS
297596,AIR BAGS
28014,AIR BAGS
103243,AIR BAGS
233895,AIR BAGS
226368,AIR BAGS
132439,AIR BAGS
188358,AIR BAGS
277820,AIR BAGS
281813,AIR BAGS
24412,AIR BAGS
237076,AIR BAGS
247739,AIR BAGS
31943,AIR BAGS
6552,AIR BAGS
193214,AIR BAGS
78387,AIR BAGS
11304,AIR BAGS
40458,AIR BAGS
224564,AIR BAGS
133726,AIR BAGS
71159,AIR BAGS
108024,AIR BAGS
32107,AIR BAGS
55922,AIR BAGS
216331,AIR BAGS
53472,AIR BAGS
259657,AIR BAGS
163653,AIR BAGS
233130,AIR BAGS
188161,AIR BAGS
169550,AIR BAGS
87520,AIR BAGS
44161,AIR BAGS
21131,AIR BAGS
217098,AIR BAGS
289302,AIR BAGS
210488,AIR BAGS
279521,AIR BAGS
52398,AIR BAGS
32243,AIR BAGS
199266,AIR BAGS
184081,AIR BAGS
175636,AIR BAGS
103776,AIR BAGS
204184,AIR BAGS
125125,AIR BAGS
173708,AIR BAGS
51560,AIR BAGS
131683,AIR BAGS
226666,AIR BAGS
1245,AIR BAGS
68645,AIR BAGS
209025,AIR BAGS
132175,AIR BAGS
132952,AIR BAGS
84380,AIR BAGS
253746,AIR BAGS
