car_id,year,complaint_id,image_id,audio_id,is_sick_audio,is_sick_text,is_sick_image
225426,2000,106224,23460,,,0,1
190510,2000,155620,16706,,,0,1
292850,2000,70518,24689,,,0,1
32792,2002,149734,30121,,,0,1
188072,2003,151485,21494,,,0,1
41312,2003,143198,19815,,,0,1
159824,2004,133513,23983,,,0,1
197470,2005,66757,23501,,,0,1
53134,2005,78880,22205,,,0,1
111082,2005,107460,,763,1,0,
130880,2005,155518,21315,,,0,1
207292,2005,79980,22745,,,0,1
183053,2006,77781,,590,1,0,
242952,2006,143130,22651,,,0,1
285406,2006,149776,19394,,,0,1
277936,2007,144652,24481,,,0,1
293350,2007,107591,22727,,,0,1
215531,2008,106099,25479,,,0,1
160593,2008,78366,25760,,,0,1
57050,2008,8409,27391,,,0,1
266966,2009,142955,,226,1,0,
225475,2009,36517,14912,,,0,1
245235,2009,107570,21431,,,0,1
55278,2009,145000,29425,,,0,1
38597,2010,119780,,1023,1,0,
2960,2010,70625,18137,,,0,1
202937,2011,6513,19367,,,0,1
97355,2011,109209,2630,,,1,0
177649,2012,35411,19855,,,0,1
75043,2012,6373,20671,,,0,1
276602,2013,62746,27753,,,0,1
170741,2014,78663,26550,,,0,1
239489,2016,63622,2007,,,1,0
53445,2017,156105,29940,,,0,1
140120,2017,144390,17748,,,0,1
251680,2017,106554,27930,,,0,1
115552,2017,79100,25239,,,0,1
248195,2019,57158,27771,,,0,1
88345,2019,144896,30100,,,0,1
63426,2020,79130,26183,,,0,1
221262,2020,78972,20806,,,0,1
32612,2022,63164,26111,,,0,1
78730,2022,66605,26834,,,0,1
125180,2022,108703,17128,,,0,1
7495,2022,151290,27794,,,0,1
111243,2022,156092,29497,,,0,1
27476,2023,8018,26543,,,0,1
122981,2024,151096,21168,,,0,1
201123,2025,78293,29581,,,0,1
110047,2025,80151,29725,,,0,1
183688,2000,155720,19307,,,0,1
162143,2000,151219,18846,,,0,1
9216,2001,144376,,619,1,0,
72738,2001,57461,26263,,,0,1
184781,2002,79060,18436,,,0,1
254135,2002,151652,19833,,,0,1
100866,2002,143023,16628,,,0,1
122166,2002,8062,22402,,,0,1
169800,2002,108540,,648,1,0,
29194,2002,74002,23493,,,0,1
58902,2002,149867,28845,,,0,1
108380,2003,6321,28302,,,0,1
11589,2003,149348,16331,,,0,1
120712,2004,344,18663,,,0,1
84398,2004,294,27421,,,0,1
198972,2006,79989,22927,,,0,1
188899,2010,35327,16663,,,0,1
122401,2013,151734,29537,,,0,1
296721,2014,140414,22517,,,0,1
143290,2014,119722,,991,1,0,
89724,2014,,15,929,1,,0
267900,2015,35125,24,1353,1,0,0
195555,2015,73988,28605,,,0,1
106905,2017,149258,,721,1,0,
255003,2017,66859,29004,,,0,1
297744,2018,108079,22580,,,0,1
37848,2018,107715,19049,,,0,1
205313,2019,118,22261,,,0,1
296719,2021,151666,19979,,,0,1
28572,2021,62899,21516,,,0,1
49791,2021,149359,17614,,,0,1
157518,2022,151177,23508,,,0,1
27456,2022,80147,29517,,,0,1
243045,2023,106447,19455,,,0,1
137379,2023,35496,28953,,,0,1
271760,2024,155989,24366,,,0,1
235517,2025,144661,22301,,,0,1
1145,2025,77855,21197,,,0,1
6346,2025,6488,21581,,,0,1
11035,2000,133286,17149,,,0,1
56435,2001,6845,22354,,,0,1
39441,2002,79046,30075,,,0,1
299970,2003,35599,21857,,,0,1
79226,2004,,91,898,1,,0
270806,2004,79749,26913,,,0,1
59986,2005,62729,21085,,,0,1
97507,2005,66850,26308,,,0,1
37972,2006,7962,21193,,,0,1
173619,2007,74057,18740,,,0,1
16160,2008,8280,28713,,,0,1
259497,2008,78387,26949,,,0,1
196904,2009,79952,26430,,,0,1
181862,2009,63565,20486,,,0,1
234843,2009,57440,22035,,,0,1
107206,2009,78323,19110,,,0,1
178893,2010,139817,250,291,1,0,0
34310,2012,144697,27899,,,0,1
28166,2012,7753,334,113,1,0,0
93902,2013,108634,20785,,,0,1
297835,2013,151337,22223,,,0,1
29965,2015,7737,302,92,1,0,0
212053,2016,66844,23530,,,0,1
192262,2016,144585,26130,,,0,1
232698,2020,35142,,1205,1,0,
270006,2021,8382,20182,,,0,1
234918,2021,120091,21065,,,0,1
181020,2022,143070,21277,,,0,1
298215,2023,133530,26635,,,0,1
229933,2023,35812,26975,,,0,1
148044,2024,73751,25235,,,0,1
64660,2024,144342,,560,1,0,
161432,2000,106127,19505,,,0,1
118803,2002,7761,358,1306,1,0,0
218629,2002,79220,28020,,,0,1
204759,2002,,359,907,1,,0
200371,2003,73744,24038,,,0,1
254239,2003,70721,22735,,,0,1
25300,2004,108677,26463,,,0,1
292359,2006,73754,25989,,,0,1
230245,2006,80058,25376,,,0,1
25712,2007,8104,24067,,,0,1
13041,2007,79991,28658,,,0,1
67077,2009,151563,23577,,,0,1
70488,2010,133192,18936,,,0,1
78153,2010,63511,25088,,,0,1
189709,2011,151186,23308,,,0,1
115976,2011,36034,4446,,,1,0
203105,2012,79849,23533,,,0,1
173226,2012,74017,23705,,,0,1
217460,2012,144527,19918,,,0,1
84591,2012,143343,28154,,,0,1
81401,2013,144388,24596,,,0,1
290502,2014,149630,17143,,,0,1
181853,2014,7776,,1287,1,0,
155325,2014,57148,16372,,,0,1
243802,2015,120013,18872,,,0,1
129223,2015,79498,,1217,1,0,
17558,2015,80007,29965,,,0,1
99352,2016,105964,21291,,,0,1
54955,2017,35384,26961,,,0,1
111385,2018,57605,29342,,,0,1
243519,2018,6319,28377,,,0,1
16970,2018,107603,17515,,,0,1
164670,2018,120453,24544,,,0,1
109719,2019,6540,22878,,,0,1
207113,2020,36188,7536,,,1,0
274635,2020,108030,29270,,,0,1
78835,2020,57297,22366,,,0,1
286215,2021,277,19241,,,0,1
117773,2022,74358,5410,,,1,0
20974,2022,73663,17597,,,0,1
119762,2022,133169,18514,,,0,1
252947,2023,140041,22098,,,0,1
75009,2023,70993,29923,,,0,1
220170,2024,35846,29258,,,0,1
89305,2024,63590,28148,,,0,1
196753,2001,70681,22073,,,0,1
194792,2002,35594,23996,,,0,1
270433,2003,143598,29796,,,0,1
46837,2004,35562,21840,,,0,1
40364,2004,144654,24913,,,0,1
291266,2006,78032,26407,,,0,1
69122,2007,108814,23033,,,0,1
176519,2008,7996,18030,,,0,1
112786,2008,73733,23645,,,0,1
143462,2008,155705,25255,,,0,1
158342,2008,35350,20459,,,0,1
33103,2009,133572,25691,,,0,1
37758,2009,79713,17172,,,0,1
101203,2010,119695,54,1290,1,0,0
250595,2011,79566,25590,,,0,1
106760,2012,109045,27805,,,0,1
284538,2012,7856,21151,,,0,1
138518,2014,7623,95,76,1,0,0
280976,2014,35275,16229,,,0,1
87545,2014,78527,3345,,,1,0
35020,2014,107870,24948,,,0,1
266608,2015,120429,28949,,,0,1
239328,2016,108916,29372,,,0,1
268126,2017,70743,20177,,,0,1
263065,2017,78013,25583,,,0,1
55685,2017,70697,18939,,,0,1
156696,2017,155764,23387,,,0,1
221999,2017,6525,16959,,,0,1
43406,2017,151360,20534,,,0,1
64107,2018,73798,28077,,,0,1
1871,2018,6838,22208,,,0,1
299875,2019,149815,20097,,,0,1
177031,2019,70495,22692,,,0,1
154550,2022,120019,19705,,,0,1
95346,2022,140455,28888,,,0,1
105999,2023,35865,21546,,,0,1
220202,2024,6549,24814,,,0,1
257779,2024,78115,21508,,,0,1
248870,2025,140,22153,,,0,1
152995,2025,108673,22767,,,0,1
2969,2000,70641,27387,,,0,1
156347,2000,143056,18516,,,0,1
91184,2003,70638,19903,,,0,1
50450,2003,105905,,536,1,0,
171947,2003,108682,27881,,,0,1
251925,2004,106039,25301,,,0,1
20067,2006,63205,25869,,,0,1
193184,2006,133144,24262,,,0,1
102534,2007,108956,24486,,,0,1
88934,2007,66883,18654,,,0,1
256239,2008,78094,23673,,,0,1
275670,2008,143315,19095,,,0,1
127905,2009,133386,29631,,,0,1
175689,2009,79851,16966,,,0,1
23983,2010,71013,27869,,,0,1
102829,2012,133406,29140,,,0,1
292759,2014,62976,27511,,,0,1
119127,2015,66754,25104,,,0,1
177748,2015,434,24594,,,0,1
50070,2015,149744,24400,,,0,1
233871,2015,63018,23165,538,1,0,1
288010,2016,119926,23853,,,0,1
216142,2016,156513,9552,,,0,1
188679,2017,79910,25744,,,0,1
98806,2017,57277,20637,,,0,1
199776,2017,144471,19023,,,0,1
150509,2018,107947,18709,,,0,1
67463,2019,143255,19573,,,0,1
244926,2020,7990,26545,,,0,1
237456,2020,79688,19486,,,0,1
157861,2021,57030,30068,,,0,1
232805,2023,144771,17395,,,0,1
97010,2023,79104,29057,,,0,1
247672,2023,,390,877,1,,0
14029,2024,36005,3889,,,1,0
219200,2025,107995,30091,,,0,1
241350,2000,119931,20303,,,0,1
17844,2001,155998,27804,,,0,1
282797,2002,78382,29389,,,0,1
186391,2003,149277,16692,,,0,1
214831,2004,106409,24632,,,0,1
162110,2004,6786,20021,,,0,1
115772,2005,149683,25469,,,0,1
111151,2006,107539,25910,,,0,1
195204,2006,133541,24720,,,0,1
139869,2007,142959,,1251,1,0,
51563,2008,6388,20890,,,0,1
20672,2008,374,20693,,,0,1
263881,2008,79689,19487,,,0,1
248158,2009,151233,28800,,,0,1
275367,2010,8068,21226,,,0,1
51919,2011,133369,16564,,,0,1
212317,2011,66661,16606,,,0,1
290053,2011,6478,18309,,,0,1
39935,2012,140407,22398,,,0,1
72367,2012,70984,29006,,,0,1
244798,2013,63089,29506,,,0,1
34834,2013,35217,,1229,1,0,
297092,2014,108996,26136,,,0,1
199461,2014,79490,335,1105,1,0,0
36734,2014,70468,23836,,,0,1
190416,2015,436,25498,,,0,1
297028,2015,73935,24416,,,0,1
115948,2016,143107,17547,,,0,1
175759,2016,57376,19291,,,0,1
132802,2017,63361,24075,,,0,1
256140,2017,66381,,628,1,0,
146197,2020,143529,28622,,,0,1
180610,2020,155575,24831,,,0,1
164506,2021,119865,23785,,,0,1
65334,2023,6653,27072,,,0,1
140812,2024,62524,18521,,,0,1
46659,2024,143368,29739,,,0,1
179398,2024,57707,29523,,,0,1
87010,2025,144613,27483,,,0,1
175871,2000,78800,19588,,,0,1
107055,2001,144922,20189,,,0,1
37613,2002,119997,24382,,,0,1
129440,2002,78410,21908,,,0,1
216669,2003,57075,20103,,,0,1
89551,2005,70883,26447,,,0,1
275857,2007,35519,21709,,,0,1
289199,2007,73765,20213,,,0,1
107844,2007,66496,28253,,,0,1
29044,2008,143133,28167,,,0,1
228188,2009,144953,28959,,,0,1
257853,2009,120300,28693,,,0,1
295032,2010,57430,23981,,,0,1
165541,2010,63519,25192,,,0,1
269961,2012,108618,16731,,,0,1
176399,2013,70553,21460,,,0,1
270454,2015,106276,25218,,,0,1
71954,2015,254,20310,,,0,1
249041,2016,66782,21425,,,0,1
258132,2016,78924,17058,,,0,1
124583,2016,144866,25135,,,0,1
31757,2017,8529,3833,,,1,0
118633,2018,79937,21647,,,0,1
84728,2018,143079,20723,,,0,1
19518,2019,106120,18811,,,0,1
138680,2020,149412,23627,,,0,1
238605,2020,107590,21470,,,0,1
159557,2021,73768,26275,,,0,1
21349,2021,106269,19607,,,0,1
106168,2022,73788,26228,,,0,1
179619,2023,143235,20567,,,0,1
26418,2024,63611,29622,,,0,1
58593,2024,144576,25726,,,0,1
232399,2024,149762,27733,,,0,1
271039,2025,63578,29984,,,0,1
203997,2025,79509,,1106,1,0,
123305,2002,106031,26632,,,0,1
79582,2002,57428,835,,,1,0
182490,2002,80150,29677,,,0,1
277013,2002,62993,27815,,,0,1
19716,2003,143047,19744,,,0,1
102953,2004,80145,29490,,,0,1
199187,2005,149241,,395,1,0,
78189,2006,149665,21664,,,0,1
215951,2006,78716,21327,,,0,1
43665,2006,79236,29020,,,0,1
257309,2008,35293,22581,,,0,1
135025,2009,143121,26484,,,0,1
108275,2009,151768,28007,,,0,1
161348,2012,144806,18082,,,0,1
230285,2013,107544,22969,,,0,1
43444,2014,143554,29852,,,0,1
64054,2016,78256,27187,,,0,1
44324,2016,151230,25766,,,0,1
4802,2016,79691,24910,,,0,1
33797,2019,139962,23757,,,0,1
162468,2021,143293,29559,,,0,1
39520,2021,144730,29734,,,0,1
27419,2024,107672,16561,,,0,1
294383,2025,106235,20294,,,0,1
144797,2000,151296,18410,,,0,1
881,2000,73657,18861,,,0,1
16122,2000,66699,22179,,,0,1
12611,2002,207,20988,,,0,1
209731,2003,73696,17729,,,0,1
39784,2004,63328,22336,,,0,1
241361,2005,7807,19212,,,0,1
63700,2005,144476,22733,,,0,1
81129,2005,151175,22586,,,0,1
49050,2006,133424,20818,,,0,1
162774,2006,144836,29933,,,0,1
229773,2006,144816,18248,,,0,1
258295,2007,35647,29715,,,0,1
191397,2007,66967,29453,,,0,1
115605,2009,133138,17853,,,0,1
59848,2009,8095,19288,,,0,1
223321,2009,62985,18739,,,0,1
292196,2010,106044,26289,,,0,1
32333,2012,143076,18525,,,0,1
51984,2014,35937,29263,,,0,1
257395,2015,7757,349,1139,1,0,0
223380,2016,73827,22067,,,0,1
171387,2018,149612,23706,,,0,1
75288,2018,79600,26031,,,0,1
20789,2018,66524,21000,,,0,1
119851,2018,143272,16639,,,0,1
285387,2018,151334,25942,,,0,1
100733,2020,108854,21015,,,0,1
121945,2021,79092,24562,,,0,1
188330,2021,70723,23335,,,0,1
294341,2024,105966,17954,,,0,1
125021,2024,106455,27150,,,0,1
3328,2024,8180,21247,,,0,1
220029,2024,108695,23234,,,0,1
158658,2024,107738,24047,,,0,1
263353,2000,120134,18613,,,0,1
