index,car_id,problem_category
4,109175,electrical system
13,6520,fuel system
14,206034,steering
25,94463,service brakes
27,61553,structure
29,52642,fuel system
38,144959,electrical system
43,244857,electrical system
83,23511,electrical system
84,96275,power train
88,271144,engine
101,224301,power train
106,214535,engine
107,192904,steering
113,34931,engine
119,24609,air bags
132,91089,power train
136,181856,engine
157,162302,fuel/propulsion system
170,4919,power train
192,282133,electrical system
193,182642,engine
202,134825,engine
214,295861,visibility
218,93797,power train
226,128225,engine
234,61583,structure
256,156552,electrical system
257,188084,service brakes
266,8846,engine
276,206156,electrical system
284,266322,lane departure
294,174939,power train
321,217634,service brakes
335,52617,electrical system
340,186514,suspension
356,188516,steering
359,71048,steering
360,274872,seat belts
366,32391,service brakes
401,20463,electrical system
405,251162,power train
420,232689,electrical system
432,224866,electrical system
438,214148,vehicle speed control
444,41740,steering
450,122086,electrical system
469,242026,engine
474,91210,visibility/wiper
503,11040,power train
504,134494,electrical system
507,220335,power train
510,293966,power train
512,57403,tires
520,277004,electrical system
526,149029,engine
538,227551,wheels
542,227399,service brakes
574,113824,power train
585,255691,vehicle speed control
588,49391,engine
599,232753,steering
601,244251,fuel system
604,84148,engine
605,177538,power train
622,112092,power train
674,235448,forward collision avoidance
677,79058,electrical system
681,105528,electrical system
686,228159,engine
703,203051,power train
705,155860,engine and engine cooling
711,46444,power train
712,62837,air bags
737,212590,electrical system
759,144413,engine
772,146590,forward collision avoidance
774,46096,steering
780,144042,power train
802,145413,electrical system
811,286494,engine and engine cooling
813,230802,visibility/wiper
820,195744,engine
830,176870,exterior lighting
833,148252,electrical system
835,198476,service brakes
842,286843,electrical system
844,170598,power train
853,118334,electrical system
854,282883,electrical system
861,104754,power train
864,254348,engine
872,152842,engine
876,194628,air bags
885,156456,engine
898,52488,tires
901,191583,engine and engine cooling
917,189682,power train
921,63692,air bags
922,2530,electrical system
926,98881,power train
946,28535,electrical system
954,189312,engine
955,219684,steering
960,209971,steering
962,40528,visibility
970,179864,power train
971,43667,engine
979,9124,forward collision avoidance
992,24553,fuel/propulsion system
997,261870,power train
1008,245414,engine
1043,79690,steering
1046,178150,electrical system
1047,191009,power train
1054,148017,engine
1059,98479,electrical system
1078,11720,engine
1079,235089,power train
1081,64232,power train
1082,69658,steering
1085,254648,electrical system
1086,87388,steering
1091,293131,air bags
1093,280623,lane departure
1100,87899,power train
1109,295622,air bags
1129,208800,tires
1131,75552,electrical system
1159,228386,visibility
1171,72090,engine
1174,165856,steering
1181,53277,power train
1186,63516,power train
1187,15143,forward collision avoidance
1191,208040,engine
1197,290907,engine
1203,16306,electrical system
1207,141376,steering
1221,174341,electrical system
1223,95734,steering
1249,74660,steering
1250,220097,engine and engine cooling
1257,117796,forward collision avoidance
1266,223269,vehicle speed control
1280,186806,structure
1293,62067,power train
1295,148779,service brakes
1298,1903,electrical system
1306,124165,electrical system
1310,168211,electrical system
1319,21964,air bags
1321,212907,power train
1324,261992,electrical system
1328,64201,electrical system
1333,177768,fuel/propulsion system
1334,254550,steering
1349,62292,electrical system
1367,97796,electrical system
1369,181654,air bags
1384,8006,electrical system
1387,137078,power train
1392,69946,electrical system
1393,40811,electrical system
1394,112907,electrical system
1401,149529,steering
1440,226008,engine
1451,248875,engine
1453,100072,service brakes
1457,46170,engine and engine cooling
1465,225751,air bags
1495,211289,air bags
1497,131689,power train
1506,166551,suspension
1507,286184,engine
1518,111662,electrical system
1522,118202,wheels
1524,12577,back over prevention
1527,296750,power train
1528,297085,steering
1530,212392,fuel/propulsion system
1533,121302,electrical system
1542,111730,steering
1548,277441,power train
1551,119667,engine
1567,21023,engine and engine cooling
1569,26086,service brakes
1579,40818,engine
1580,21860,service brakes
1581,290915,power train
1587,43193,power train
1592,175571,air bags
1593,5914,electrical system
1599,43167,power train
1600,251026,structure
1601,102923,electrical system
1616,41948,steering
1624,235584,engine
1629,94582,service brakes
1634,128099,engine
1636,88614,power train
1640,158677,power train
1655,261711,engine
1671,207667,power train
1693,197708,air bags
1699,20768,power train
1712,8824,power train
1714,5424,vehicle speed control
1718,15650,electrical system
1740,294559,steering
1741,181567,electrical system
1744,299143,engine
1746,175125,power train
1748,284882,engine
1759,51033,service brakes
1764,35611,steering
1766,209343,power train
1770,49020,engine
1778,62763,service brakes
1791,37006,power train
1795,223562,service brakes
1806,79232,service brakes
1814,176827,power train
1817,18323,electrical system
1832,109329,steering
1842,197892,electrical system
1856,220869,service brakes
1864,147392,structure
1867,16190,service brakes
1872,226371,steering
1874,8489,wheels
1878,185030,electrical system
1896,274786,engine and engine cooling
1906,284837,engine
1914,214663,power train
1936,188871,power train
1940,253216,exterior lighting
1941,136101,structure
1947,238001,engine
1954,200454,electrical system
1969,28583,exterior lighting
1972,57451,power train
1983,30162,electrical system
1987,40397,steering
2008,183545,service brakes
2011,266182,engine
2024,152889,power train
2032,87574,service brakes
2037,36403,engine
2038,70120,service brakes
2049,93963,vehicle speed control
2058,85514,power train
2083,263769,service brakes
2090,197514,air bags
2104,171744,vehicle speed control
2106,26216,air bags
2109,144092,power train
2113,67782,power train
2123,253203,steering
2132,52632,steering
2142,85833,power train
2146,192179,fuel/propulsion system
2160,278516,electrical system
2166,108022,air bags
2181,50745,fuel/propulsion system
2193,245533,power train
2194,202939,equipment
2195,90413,service brakes
2218,218661,structure
2233,214707,vehicle speed control
2235,257957,steering
2242,132108,steering
2244,35717,service brakes
2245,203736,fuel system
2253,7107,service brakes
2255,68364,electrical system
2256,168892,steering
2258,66690,service brakes
2271,250009,engine and engine cooling
2281,61571,engine
2285,221784,seat belts
2294,256345,engine
2298,161746,power train
2310,38025,forward collision avoidance
2326,193842,fuel system
2331,202581,structure
2332,40605,visibility/wiper
2339,107803,power train
2341,9845,electrical system
2343,39703,engine
2366,92544,seat belts
2371,126582,electrical system
2372,3937,fuel system
2391,148072,power train
2397,115584,service brakes
2399,283002,power train
2423,42562,visibility/wiper
2426,270860,electrical system
2450,230044,engine and engine cooling
2461,83802,engine
2468,142526,service brakes
2470,77475,engine and engine cooling
2479,80636,electrical system
2496,230896,power train
2504,79904,service brakes
2507,155953,engine
2523,196259,power train
2546,232247,power train
2549,142816,engine
2559,280331,tires
2560,22118,electrical system
2561,198163,seats
2566,95970,power train
2567,241021,engine
2572,140220,suspension
2576,257625,service brakes
2580,18833,service brakes
2608,71391,electrical system
2611,243728,structure
2616,254194,structure
2635,210133,visibility
2638,136041,air bags
2639,157075,electrical system
2652,258840,electrical system
2664,91895,engine
2665,174938,visibility/wiper
2676,102832,suspension
2679,179248,fuel system
2681,185119,steering
2696,231620,service brakes
2698,98032,engine and engine cooling
2719,66110,electrical system
2723,183605,service brakes
2728,229966,engine
2731,237278,back over prevention
2737,12220,vehicle speed control
2738,190206,power train
2741,59646,air bags
2771,192032,power train
2808,54940,power train
2818,182388,service brakes
2825,149366,service brakes
2837,116193,vehicle speed control
2844,235084,vehicle speed control
2846,143207,engine
2859,182649,fuel/propulsion system
2871,49136,engine and engine cooling
2887,115167,power train
2888,120744,engine
2892,106356,electrical system
2908,55635,structure
2920,113638,steering
2933,219784,power train
2957,262775,visibility/wiper
2962,150158,forward collision avoidance
2968,186310,air bags
3006,29935,electrical system
3009,232013,engine
3027,275509,seats
3044,299082,service brakes
3046,226252,electrical system
3047,241594,forward collision avoidance
3054,254669,steering
3061,52327,wheels
3070,157021,vehicle speed control
3077,216047,power train
3084,29424,power train
3103,282758,steering
3110,267478,electrical system
3117,219652,power train
3119,67978,structure
3120,188200,structure
3127,141897,power train
3158,274131,engine
3164,220375,lane departure
3171,265053,engine and engine cooling
3193,117762,steering
3211,129651,electrical system
3219,279944,seats
3225,95789,engine
3230,211297,electrical system
3231,163058,service brakes
3235,89424,service brakes
3237,93980,back over prevention
3240,136786,seat belts
3243,91741,structure
3246,42621,engine
3258,220564,engine
3262,208060,service brakes
3264,282730,air bags
3278,7168,engine
3281,110209,power train
3284,1627,engine and engine cooling
3293,191823,electrical system
3299,58472,steering
3313,291726,service brakes
3341,267505,power train
3357,168262,electrical system
3360,162492,electrical system
3361,161833,suspension
3392,24302,electrical system
3393,139587,steering
3394,208729,power train
3405,5523,power train
3408,185101,steering
3433,202882,service brakes
3436,81674,electrical system
3446,105977,engine and engine cooling
3449,182008,suspension
3451,221672,engine
3456,157491,air bags
3461,116994,power train
3469,189322,power train
3470,163653,air bags
3479,140674,electrical system
3482,68247,electrical system
3491,162537,visibility
3497,226722,fuel system
3505,162328,power train
3511,15480,structure
3512,168896,electrical system
3514,203335,engine
3525,5263,power train
3540,262828,engine and engine cooling
3554,1285,power train
3555,63037,engine and engine cooling
3565,210208,suspension
3568,36127,steering
3577,166375,electrical system
3584,35591,vehicle speed control
3590,176235,power train
3604,280744,engine
3612,61942,seats
3621,151935,air bags
3636,292926,lane departure
3638,130289,electrical system
3675,10441,service brakes
3680,225054,power train
3689,228759,structure
3690,286848,electrical system
3695,229768,air bags
3713,268704,fuel system
3725,247152,service brakes
3756,165073,steering
3758,78333,electrical system
3760,284398,exterior lighting
3769,66419,power train
3770,167622,electrical system
3778,53070,steering
3784,108936,service brakes
3788,281863,power train
3805,186153,electrical system
3808,241124,steering
3832,203452,exterior lighting
3834,63472,engine
3854,59598,back over prevention
3869,162691,visibility/wiper
3872,99944,air bags
3873,278051,steering
3883,6116,power train
3908,271169,fuel/propulsion system
3911,270524,fuel system
3921,293486,structure
3923,124851,engine
3926,156278,steering
3934,81041,engine
3941,139119,exterior lighting
3958,135295,power train
3964,277430,power train
3992,255820,engine
4017,219559,seat belts
4030,35878,visibility/wiper
4037,183008,engine
4039,246183,fuel system
4040,208814,visibility/wiper
4056,291578,engine
4057,258331,visibility/wiper
4059,30056,air bags
4072,251933,electrical system
4075,182685,engine
4076,192626,electrical system
4078,292216,engine
4111,49887,seat belts
4135,118880,engine
4137,157202,forward collision avoidance
4138,25330,power train
4149,222147,service brakes
4150,260858,visibility/wiper
4163,102215,service brakes
4165,225057,suspension
4179,188269,power train
4198,3916,air bags
4203,277275,engine
4216,263735,power train
4223,110482,engine and engine cooling
4244,297744,seats
4245,288681,electrical system
4251,262553,electrical system
4253,122631,engine
4256,55195,electrical system
4265,92400,electrical system
4268,77669,power train
4270,212357,steering
4287,39769,electrical system
4288,169010,engine
4295,25332,engine
4297,170548,power train
4301,160744,exterior lighting
4312,20531,engine and engine cooling
4313,132952,air bags
4315,269606,vehicle speed control
4326,177271,engine
4368,160151,engine
4373,15644,power train
4381,257771,suspension
4382,4005,power train
4384,86425,air bags
4390,259370,fuel system
4393,192579,electrical system
4394,91184,fuel system
4396,59872,engine
4438,227524,service brakes
4454,265069,seats
4459,190424,power train
4469,219390,power train
4483,288679,service brakes
4505,41632,back over prevention
4519,177673,electrical system
4524,281259,power train
4534,158250,steering
4543,98778,power train
4552,217381,power train
4554,232700,service brakes
4561,223863,electrical system
4566,96243,electrical system
4568,49089,steering
4578,193074,structure
4593,76553,power train
4604,140999,engine
4612,158527,fuel system
4619,182313,steering
4644,142859,steering
4660,23326,power train
4662,121497,fuel/propulsion system
4664,45538,power train
4691,178094,structure
4694,265050,electrical system
4701,285443,engine
4703,165630,engine
4711,282289,electrical system
4715,116512,steering
4721,538,structure
4723,232648,power train
4727,128612,power train
4739,135513,engine
4746,69145,wheels
4747,2859,service brakes
4750,81777,suspension
4759,230184,engine
4763,134047,engine
4769,120253,fuel/propulsion system
4772,202729,power train
4776,88467,visibility/wiper
4781,289394,steering
4784,23180,fuel/propulsion system
4804,175613,service brakes
4805,45988,power train
4807,89282,engine and engine cooling
4809,203025,steering
4812,44085,electrical system
4817,103684,structure
4836,17664,power train
4838,16629,electrical system
4839,66369,exterior lighting
4845,126382,electrical system
4853,24760,suspension
4862,19716,tires
4874,89911,fuel/propulsion system
4878,152522,tires
4885,194887,electrical system
4894,2206,power train
4899,35455,power train
4915,291731,electrical system
4927,147452,vehicle speed control
4939,118077,structure
4961,212901,exterior lighting
4967,29111,engine
4987,52209,power train
5032,242455,engine
5037,4527,power train
5044,25467,power train
5054,135333,service brakes
5062,282071,electrical system
5073,295232,power train
5082,200106,vehicle speed control
5086,107845,engine
5088,100876,fuel/propulsion system
5090,7632,electrical system
5091,103514,steering
5104,298222,electrical system
5111,68678,steering
5113,4822,engine
5132,217489,electrical system
5133,46870,power train
5141,58717,forward collision avoidance
5156,219279,power train
5157,78562,power train
5161,238789,air bags
5180,245295,visibility/wiper
5181,7814,engine
5193,100587,vehicle speed control
5212,156359,fuel system
5218,135685,power train
5230,79107,power train
5236,272720,structure
5239,183384,service brakes
5240,256612,steering
5243,9604,structure
5254,134680,electrical system
5259,49220,electrical system
5266,1204,power train
5270,12613,power train
5281,218940,service brakes
5284,256691,power train
5286,243802,steering
5293,166678,structure
5300,96286,vehicle speed control
5314,295271,fuel system
5318,213514,power train
5321,64107,fuel/propulsion system
5324,26010,steering
5326,172380,steering
5330,153811,forward collision avoidance
5336,2083,power train
5341,192733,fuel system
5343,229386,steering
5355,72709,power train
5364,6561,steering
5388,108547,wheels
5401,52590,suspension
5404,167768,engine
5407,11695,seats
5427,62208,power train
5441,216321,electrical system
5452,297231,engine
5453,141183,power train
5460,99293,power train
5467,167171,electrical system
5471,221589,electrical system
5486,298207,power train
5487,291519,visibility/wiper
5489,23256,visibility/wiper
5497,270910,structure
5510,156604,engine
5513,180198,power train
5524,148820,steering
5530,197632,vehicle speed control
5532,297421,electrical system
5547,8292,visibility
5554,275059,power train
5561,253051,air bags
5562,93477,electrical system
5606,107275,air bags
5609,6204,vehicle speed control
5622,8937,engine
5632,132627,engine
5647,186050,power train
5658,204135,electrical system
5660,154400,electrical system
5664,249012,suspension
5669,220142,electrical system
5673,26907,seat belts
5688,281458,steering
5696,176966,power train
5719,256872,wheels
5741,275519,engine
5772,53954,fuel system
5773,235913,engine
5777,59177,electrical system
5778,257747,service brakes
5789,73676,steering
5808,112821,power train
5817,104963,engine
5825,249811,steering
5829,278653,air bags
5838,69700,vehicle speed control
5841,117631,steering
5860,208389,power train
5861,136972,electrical system
5865,253349,air bags
5866,47408,structure
5883,247138,power train
5898,181876,fuel/propulsion system
5900,267722,electrical system
5968,165738,power train
5972,141764,power train
5978,45085,tires
5981,28050,vehicle speed control
5989,103389,engine
5996,239084,electrical system
6001,129223,power train
6007,110114,electrical system
6008,160888,engine
6012,52891,engine and engine cooling
6018,55795,visibility/wiper
6030,205340,electrical system
6043,92892,steering
6050,260602,visibility/wiper
6052,195036,power train
6057,183826,service brakes
6058,136672,engine
6066,115392,electrical system
6091,132802,exterior lighting
6101,61657,power train
6113,106250,electrical system
6114,191276,service brakes
6115,185091,forward collision avoidance
6120,125258,power train
6123,183463,power train
6124,51227,steering
6131,138203,power train
6137,163109,visibility/wiper
6154,84884,power train
6161,202937,back over prevention
6167,202767,seat belts
6174,220548,suspension
6177,231703,engine
6180,125448,power train
6181,18181,service brakes
6184,240167,power train
6191,62120,engine
6195,81619,electrical system
6201,80495,steering
6204,26087,air bags
6207,24037,engine
6214,168609,air bags
6220,295996,wheels
6236,254172,engine
6255,81121,power train
6256,170679,steering
6269,163469,power train
6283,62019,electrical system
6285,191969,exterior lighting
6308,192909,forward collision avoidance
6309,244146,suspension
6326,93435,fuel/propulsion system
6327,40983,power train
6330,255291,seats
6357,96101,steering
6361,103153,vehicle speed control
6363,173934,air bags
6397,7517,service brakes
6398,75176,lane departure
6401,28420,engine
6405,90736,service brakes
6407,281178,structure
