index,car_id,problem_category
0,171808,structure
1,230396,service brakes
2,129473,power train
3,83404,vehicle speed control
4,109175,electrical system
5,130094,structure
6,14867,exterior lighting
7,27887,steering
8,25509,service brakes
9,299048,electrical system
10,175440,service brakes
11,211532,service brakes
12,31427,engine
13,6520,fuel system
14,206034,steering
15,263045,equipment
16,224011,engine and engine cooling
17,86629,service brakes
18,45212,exterior lighting
19,240829,engine
20,170651,power train
21,35895,steering
22,194374,service brakes
23,197227,engine
24,139035,engine
25,94463,service brakes
26,197132,steering
27,61553,structure
28,119131,forward collision avoidance
29,52642,fuel system
30,50721,electrical system
31,108456,engine and engine cooling
32,91090,forward collision avoidance
33,96075,visibility/wiper
34,76565,visibility/wiper
35,172538,vehicle speed control
36,232201,visibility
37,152824,service brakes
38,144959,electrical system
39,66210,engine
40,114234,engine
41,81810,fuel/propulsion system
42,196683,steering
43,244857,electrical system
44,168859,air bags
45,172363,electrical system
46,184227,power train
47,225293,electrical system
48,50217,steering
49,130728,electrical system
50,107487,forward collision avoidance
51,89545,electrical system
52,98955,electrical system
53,39125,visibility
54,250857,power train
55,79225,service brakes
56,244514,vehicle speed control
57,112682,fuel/propulsion system
58,209301,power train
59,87183,engine
60,82795,power train
61,151812,steering
62,190307,power train
63,231448,power train
64,258947,power train
65,160885,seats
66,92384,service brakes
67,256592,structure
68,227352,power train
69,104936,steering
70,57103,power train
71,241779,power train
72,182376,engine
73,116412,power train
74,190415,back over prevention
75,241880,power train
76,6993,steering
77,119373,visibility/wiper
78,78265,forward collision avoidance
79,99808,power train
80,234340,engine
81,104953,air bags
82,16702,electrical system
83,23511,electrical system
84,96275,power train
85,278598,seat belts
86,64568,visibility/wiper
87,48452,engine
88,271144,engine
89,82226,engine
90,202375,power train
91,228632,electrical system
92,203934,electrical system
93,152868,vehicle speed control
94,251839,vehicle speed control
95,197441,electrical system
96,97175,engine
97,144453,engine and engine cooling
98,60059,structure
99,272924,power train
100,188274,power train
101,224301,power train
102,148519,structure
103,222685,steering
104,277754,power train
105,79595,steering
106,214535,engine
107,192904,steering
108,58315,visibility
