car_id,problem_category
109175,ELECTRICAL SYSTEM
6520,FUEL SYSTEM
206034,AIR BAGS
94463,SERVICE BRAKES
61553,STRUCTURE
52642,FUEL SYSTEM
144959,ENGINE
244857,FORWARD COLLISION AVOIDANCE
23511,ELECTRICAL SYSTEM
96275,POWER TRAIN
271144,ENGINE
224301,POWER TRAIN
214535,ENGINE
192904,STEERING
34931,ENGINE
24609,AIR BAGS
91089,POWER TRAIN
181856,ENGINE
162302,FUEL SYSTEM
4919,POWER TRAIN
282133,STRUCTURE
182642,ENGINE
134825,ENGINE AND ENGINE COOLING
295861,VISIBILITY
93797,POWER TRAIN
128225,ENGINE
61583,STRUCTURE
156552,VISIBILITY/WIPER
188084,SERVICE BRAKES
8846,ENGINE
206156,SERVICE BRAKES
266322,VISIBILITY
174939,POWER TRAIN
217634,FORWARD COLLISION AVOIDANCE
52617,ELECTRICAL SYSTEM
186514,SUSPENSION
188516,STEERING
71048,STEERING
274872,SEAT BELTS
32391,SERVICE BRAKES
20463,ELECTRICAL SYSTEM
251162,POWER TRAIN
232689,ELECTRICAL SYSTEM
224866,ELECTRICAL SYSTEM
214148,POWER TRAIN
41740,STEERING
122086,SERVICE BRAKES
242026,ENGINE
91210,VISIBILITY/WIPER
11040,POWER TRAIN
134494,FORWARD COLLISION AVOIDANCE
220335,ENGINE
293966,POWER TRAIN
57403,TIRES
277004,ELECTRICAL SYSTEM
149029,ENGINE
227551,WHEELS
227399,SERVICE BRAKES
113824,POWER TRAIN
255691,VEHICLE SPEED CONTROL
49391,ENGINE
232753,STEERING
244251,FUEL SYSTEM
84148,ENGINE
177538,POWER TRAIN
112092,POWER TRAIN
235448,FORWARD COLLISION AVOIDANCE
79058,ELECTRICAL SYSTEM
105528,POWER TRAIN
228159,ENGINE
203051,POWER TRAIN
155860,SERVICE BRAKES
46444,TIRES
62837,AIR BAGS
212590,ELECTRICAL SYSTEM
144413,AIR BAGS
146590,FORWARD COLLISION AVOIDANCE
46096,STEERING
144042,ENGINE
145413,SERVICE BRAKES
286494,ENGINE
230802,VISIBILITY/WIPER
195744,ENGINE
176870,EXTERIOR LIGHTING
148252,LATCHES/LOCKS/LINKAGES
198476,SERVICE BRAKES
286843,ELECTRICAL SYSTEM
170598,POWER TRAIN
118334,ELECTRICAL SYSTEM
282883,POWER TRAIN
104754,ENGINE
254348,ENGINE
152842,ENGINE
194628,AIR BAGS
156456,ENGINE
52488,TIRES
191583,ENGINE AND ENGINE COOLING
189682,POWER TRAIN
63692,AIR BAGS
2530,ENGINE
98881,POWER TRAIN
28535,VISIBILITY
189312,ENGINE
219684,STEERING
209971,STEERING
40528,STRUCTURE
179864,ENGINE
43667,ENGINE
9124,FORWARD COLLISION AVOIDANCE
24553,ENGINE
261870,POWER TRAIN
245414,ENGINE
79690,STEERING
178150,ENGINE
191009,ELECTRICAL SYSTEM
148017,ENGINE
98479,SERVICE BRAKES
11720,ENGINE
235089,POWER TRAIN
64232,POWER TRAIN
69658,STEERING
254648,ELECTRICAL SYSTEM
87388,FUEL SYSTEM
293131,AIR BAGS
280623,VISIBILITY/WIPER
87899,ENGINE
295622,AIR BAGS
208800,TIRES
75552,ELECTRICAL SYSTEM
228386,VISIBILITY
72090,ENGINE
165856,STEERING
53277,POWER TRAIN
63516,POWER TRAIN
15143,VEHICLE SPEED CONTROL
208040,ENGINE
290907,ENGINE
16306,ELECTRICAL SYSTEM
141376,STEERING
174341,ELECTRICAL SYSTEM
95734,FORWARD COLLISION AVOIDANCE
74660,SUSPENSION
220097,ENGINE
117796,FORWARD COLLISION AVOIDANCE
223269,POWER TRAIN
186806,ENGINE
62067,ELECTRICAL SYSTEM
148779,SERVICE BRAKES
1903,SERVICE BRAKES
124165,SERVICE BRAKES
168211,ENGINE
21964,AIR BAGS
212907,POWER TRAIN
261992,FORWARD COLLISION AVOIDANCE
64201,SEATS
177768,POWER TRAIN
254550,STEERING
62292,VISIBILITY/WIPER
97796,FORWARD COLLISION AVOIDANCE
181654,AIR BAGS
8006,ENGINE
137078,POWER TRAIN
69946,ELECTRICAL SYSTEM
40811,ELECTRICAL SYSTEM
112907,VISIBILITY
149529,ENGINE
226008,ENGINE
248875,FUEL/PROPULSION SYSTEM
100072,SERVICE BRAKES
46170,ENGINE
225751,AIR BAGS
211289,AIR BAGS
131689,ENGINE
166551,TIRES
286184,FUEL SYSTEM
111662,ELECTRICAL SYSTEM
118202,WHEELS
12577,BACK OVER PREVENTION
296750,UNKNOWN
297085,STEERING
212392,FUEL SYSTEM
121302,ENGINE
111730,POWER TRAIN
277441,POWER TRAIN
119667,ENGINE
21023,ENGINE AND ENGINE COOLING
26086,FORWARD COLLISION AVOIDANCE
40818,ENGINE
21860,SERVICE BRAKES
290915,POWER TRAIN
43193,ENGINE
175571,AIR BAGS
5914,ELECTRICAL SYSTEM
43167,POWER TRAIN
251026,STRUCTURE
102923,POWER TRAIN
41948,STEERING
235584,ENGINE
94582,SERVICE BRAKES
128099,ENGINE
88614,POWER TRAIN
158677,POWER TRAIN
261711,ENGINE
207667,POWER TRAIN
197708,AIR BAGS
20768,POWER TRAIN
8824,POWER TRAIN
5424,VEHICLE SPEED CONTROL
15650,ELECTRICAL SYSTEM
294559,STEERING
181567,AIR BAGS
299143,ENGINE
175125,POWER TRAIN
284882,ENGINE
51033,SERVICE BRAKES
35611,STEERING
209343,POWER TRAIN
49020,ENGINE AND ENGINE COOLING
62763,SERVICE BRAKES
37006,POWER TRAIN
223562,FORWARD COLLISION AVOIDANCE
79232,SERVICE BRAKES
176827,POWER TRAIN
18323,ELECTRICAL SYSTEM
109329,SUSPENSION
197892,ELECTRICAL SYSTEM
220869,SERVICE BRAKES
147392,STRUCTURE
16190,FORWARD COLLISION AVOIDANCE
226371,STEERING
8489,TIRES
185030,ENGINE
274786,ENGINE
284837,ENGINE
214663,VEHICLE SPEED CONTROL
188871,ENGINE
253216,EXTERIOR LIGHTING
136101,STRUCTURE
238001,POWER TRAIN
200454,ENGINE
28583,EXTERIOR LIGHTING
57451,POWER TRAIN
30162,FUEL/PROPULSION SYSTEM
40397,STEERING
183545,SERVICE BRAKES
266182,ENGINE
152889,POWER TRAIN
87574,SERVICE BRAKES
36403,ENGINE
70120,SERVICE BRAKES
93963,FORWARD COLLISION AVOIDANCE
85514,POWER TRAIN
263769,SERVICE BRAKES
197514,AIR BAGS
171744,VEHICLE SPEED CONTROL
26216,AIR BAGS
144092,ELECTRICAL SYSTEM
67782,ELECTRICAL SYSTEM
253203,STEERING
52632,STEERING
85833,POWER TRAIN
192179,FUEL/PROPULSION SYSTEM
278516,ENGINE
108022,AIR BAGS
50745,UNKNOWN
245533,POWER TRAIN
202939,EQUIPMENT
90413,SERVICE BRAKES
218661,STRUCTURE
214707,POWER TRAIN
257957,STEERING
132108,STEERING
35717,FORWARD COLLISION AVOIDANCE
203736,FUEL SYSTEM
7107,SERVICE BRAKES
68364,ELECTRICAL SYSTEM
168892,STEERING
66690,SERVICE BRAKES
250009,ENGINE AND ENGINE COOLING
61571,ENGINE
221784,SEAT BELTS
256345,ENGINE
161746,POWER TRAIN
38025,FORWARD COLLISION AVOIDANCE
193842,FUEL/PROPULSION SYSTEM
202581,STRUCTURE
40605,VISIBILITY/WIPER
107803,ENGINE
9845,ELECTRICAL SYSTEM
39703,ENGINE
92544,SEAT BELTS
126582,SERVICE BRAKES
3937,FUEL SYSTEM
148072,POWER TRAIN
115584,SERVICE BRAKES
283002,POWER TRAIN
42562,VISIBILITY/WIPER
270860,ELECTRICAL SYSTEM
230044,POWER TRAIN
83802,ENGINE
142526,SERVICE BRAKES
77475,ENGINE
80636,ENGINE
230896,POWER TRAIN
79904,FORWARD COLLISION AVOIDANCE
155953,POWER TRAIN
196259,POWER TRAIN
232247,VEHICLE SPEED CONTROL
142816,ENGINE
280331,TIRES
22118,FORWARD COLLISION AVOIDANCE
198163,SEATS
95970,ENGINE
241021,POWER TRAIN
140220,STRUCTURE
257625,POWER TRAIN
18833,SERVICE BRAKES
71391,ELECTRICAL SYSTEM
243728,STRUCTURE
254194,STRUCTURE
210133,SEAT BELTS
136041,UNKNOWN
157075,ENGINE
258840,ELECTRICAL SYSTEM
91895,ENGINE
174938,VISIBILITY
102832,SUSPENSION
179248,FUEL SYSTEM
185119,STEERING
231620,SERVICE BRAKES
98032,ENGINE
66110,POWER TRAIN
183605,POWER TRAIN
229966,ENGINE
237278,BACK OVER PREVENTION
12220,FUEL/PROPULSION SYSTEM
190206,POWER TRAIN
59646,AIR BAGS
192032,POWER TRAIN
54940,POWER TRAIN
182388,SERVICE BRAKES
149366,SERVICE BRAKES
116193,VEHICLE SPEED CONTROL
235084,POWER TRAIN
143207,ENGINE
182649,FUEL SYSTEM
49136,ENGINE AND ENGINE COOLING
115167,ELECTRICAL SYSTEM
120744,ENGINE
106356,ENGINE
55635,STRUCTURE
113638,STEERING
219784,POWER TRAIN
262775,VISIBILITY
150158,SERVICE BRAKES
186310,AIR BAGS
29935,ELECTRICAL SYSTEM
232013,ENGINE
275509,SEATS
299082,SERVICE BRAKES
226252,ENGINE
241594,SERVICE BRAKES
254669,STEERING
52327,WHEELS
157021,VEHICLE SPEED CONTROL
216047,POWER TRAIN
29424,POWER TRAIN
282758,STEERING
267478,ELECTRICAL SYSTEM
219652,POWER TRAIN
67978,EQUIPMENT
188200,STRUCTURE
141897,POWER TRAIN
274131,ENGINE
220375,ELECTRICAL SYSTEM
265053,ENGINE AND ENGINE COOLING
117762,STEERING
129651,ELECTRICAL SYSTEM
279944,SEATS
95789,ENGINE
211297,POWER TRAIN
163058,SERVICE BRAKES
89424,SERVICE BRAKES
93980,BACK OVER PREVENTION
136786,SEAT BELTS
91741,VISIBILITY/WIPER
42621,ENGINE
220564,FUEL SYSTEM
208060,SERVICE BRAKES
282730,AIR BAGS
7168,ENGINE
110209,ENGINE
1627,ENGINE
191823,ELECTRICAL SYSTEM
58472,STEERING
291726,SERVICE BRAKES
267505,ENGINE
168262,ELECTRICAL SYSTEM
162492,ENGINE
161833,STEERING
24302,ELECTRICAL SYSTEM
139587,STEERING
208729,POWER TRAIN
5523,POWER TRAIN
185101,STEERING
202882,SERVICE BRAKES
81674,SERVICE BRAKES
105977,ENGINE
182008,STRUCTURE
221672,ENGINE AND ENGINE COOLING
157491,AIR BAGS
116994,POWER TRAIN
189322,ENGINE
163653,AIR BAGS
140674,ELECTRICAL SYSTEM
68247,ELECTRICAL SYSTEM
162537,STRUCTURE
226722,ELECTRICAL SYSTEM
162328,POWER TRAIN
15480,VISIBILITY/WIPER
168896,ELECTRICAL SYSTEM
203335,ENGINE
5263,POWER TRAIN
262828,ENGINE
1285,POWER TRAIN
63037,ENGINE
210208,SUSPENSION
36127,POWER TRAIN
166375,ELECTRICAL SYSTEM
35591,FORWARD COLLISION AVOIDANCE
176235,POWER TRAIN
280744,SERVICE BRAKES
61942,SEATS
151935,AIR BAGS
292926,FORWARD COLLISION AVOIDANCE
130289,ENGINE
10441,SERVICE BRAKES
225054,POWER TRAIN
228759,LATCHES/LOCKS/LINKAGES
