car_id,problem_category
3242,TIRES
113602,ENGINE
102534,SERVICE BRAKES
46096,STEERING
221396,ENGINE AND ENGINE COOLING
69337,VISIBILITY
215649,ENGINE AND ENGINE COOLING
116642,SEATS
165375,ENGINE
25542,STEERING
148017,ENGINE
273624,LANE DEPARTURE
121302,ENGINE
12555,POWER TRAIN
251920,POWER TRAIN
96464,ENGINE
82204,ELECTRICAL SYSTEM
230582,POWER TRAIN
226268,ELECTRICAL SYSTEM
109784,FUEL SYSTEM
104654,POWER TRAIN
157815,ENGINE
125144,ENGINE
259370,FUEL SYSTEM
296074,ENGINE
128387,ENGINE
197892,ELECTRICAL SYSTEM
5227,POWER TRAIN
178150,ENGINE
79690,STEERING
80858,ELECTRICAL SYSTEM
72145,POWER TRAIN
190204,ENGINE
288555,ELECTRICAL SYSTEM
62292,ELECTRICAL SYSTEM
118172,STEERING
28583,EXTERIOR LIGHTING
289523,POWER TRAIN
172025,SERVICE BRAKES
205008,FORWARD COLLISION AVOIDANCE
181654,VEHICLE SPEED CONTROL
226884,POWER TRAIN
60123,ENGINE
276548,POWER TRAIN
96110,ENGINE
147963,ENGINE
105525,VISIBILITY
160086,SEAT BELTS
143588,POWER TRAIN
70308,ENGINE
97796,FORWARD COLLISION AVOIDANCE
177768,POWER TRAIN
76292,ENGINE
133138,ELECTRICAL SYSTEM
109073,STRUCTURE
243927,ENGINE
289394,STEERING
115038,POWER TRAIN
87759,STRUCTURE
90140,FORWARD COLLISION AVOIDANCE
253216,EXTERIOR LIGHTING
140175,POWER TRAIN
1265,ELECTRICAL SYSTEM
127660,ELECTRICAL SYSTEM
265760,SERVICE BRAKES
20722,ENGINE
119955,LATCHES/LOCKS/LINKAGES
194485,SERVICE BRAKES
256927,ENGINE
37947,WHEELS
228001,ELECTRICAL SYSTEM
57856,SERVICE BRAKES
58854,STEERING
222227,FUEL SYSTEM
253113,ENGINE
186806,ENGINE
278160,ELECTRICAL SYSTEM
240776,VISIBILITY
90695,FUEL SYSTEM
114338,ELECTRICAL SYSTEM
154763,POWER TRAIN
192259,FORWARD COLLISION AVOIDANCE
157715,ENGINE
135298,VEHICLE SPEED CONTROL
5514,ELECTRICAL SYSTEM
203977,WHEELS
150234,SERVICE BRAKES
275563,VISIBILITY
68365,VISIBILITY
145960,ENGINE
21233,ELECTRICAL SYSTEM
259000,SUSPENSION
70809,ENGINE
26864,ENGINE
142008,ELECTRICAL SYSTEM
290869,ELECTRICAL SYSTEM
269297,VISIBILITY
54200,VEHICLE SPEED CONTROL
101177,ELECTRICAL SYSTEM
277027,FUEL/PROPULSION SYSTEM
106490,ENGINE
125083,SERVICE BRAKES
111151,SEATS
150141,ENGINE
136101,STRUCTURE
236102,ELECTRICAL SYSTEM
66369,EXTERIOR LIGHTING
72770,SERVICE BRAKES
87331,POWER TRAIN
266952,EQUIPMENT
299593,POWER TRAIN
83571,VISIBILITY
46117,EXTERIOR LIGHTING
20429,ELECTRICAL SYSTEM
235151,WHEELS
42154,WHEELS
232844,FORWARD COLLISION AVOIDANCE
46244,ENGINE
190672,ENGINE
265622,ENGINE
204918,BACK OVER PREVENTION
151883,POWER TRAIN
245414,ENGINE AND ENGINE COOLING
64235,AIR BAGS
72192,ENGINE
240823,EXTERIOR LIGHTING
93635,POWER TRAIN
8836,STEERING
183605,POWER TRAIN
249131,ELECTRICAL SYSTEM
238001,POWER TRAIN
140900,ENGINE
131422,SERVICE BRAKES
274786,ENGINE
181758,ELECTRICAL SYSTEM
251840,ENGINE
49176,STRUCTURE
228411,ELECTRICAL SYSTEM
19411,ENGINE
112907,VISIBILITY
68224,SERVICE BRAKES
266054,ENGINE
9480,VEHICLE SPEED CONTROL
243603,SUSPENSION
191262,SUSPENSION
150614,FORWARD COLLISION AVOIDANCE
151954,ENGINE
19080,SEAT BELTS
268357,ENGINE
223347,POWER TRAIN
259875,ENGINE
75150,STEERING
175613,SERVICE BRAKES
182802,ENGINE AND ENGINE COOLING
97473,BACK OVER PREVENTION
267278,SEAT BELTS
277107,ENGINE
118202,WHEELS
103765,ENGINE
144752,ENGINE
225751,AIR BAGS
175297,ENGINE
212003,ENGINE
55183,ENGINE
177402,ELECTRICAL SYSTEM
253479,STRUCTURE
23001,SUSPENSION
48568,SERVICE BRAKES
81701,STEERING
185030,ENGINE
132857,ENGINE
186729,ENGINE
98666,POWER TRAIN
194166,AIR BAGS
127811,ENGINE
52397,ENGINE
246641,VISIBILITY
275260,POWER TRAIN
38621,ELECTRICAL SYSTEM
255417,FUEL SYSTEM
192244,FUEL SYSTEM
91531,SERVICE BRAKES
185067,ENGINE
47960,POWER TRAIN
75072,FUEL SYSTEM
212865,SERVICE BRAKES
171435,ENGINE
176998,STRUCTURE
198422,POWER TRAIN
107729,FUEL SYSTEM
163489,SERVICE BRAKES
35884,ELECTRICAL SYSTEM
139536,POWER TRAIN
198200,EXTERIOR LIGHTING
45945,SERVICE BRAKES
173931,POWER TRAIN
296529,SERVICE BRAKES
149366,SERVICE BRAKES
283438,WHEELS
246938,FUEL SYSTEM
62328,FORWARD COLLISION AVOIDANCE
255663,AIR BAGS
174992,STEERING
282003,STEERING
116384,FORWARD COLLISION AVOIDANCE
268126,FUEL SYSTEM
130568,POWER TRAIN
278230,STEERING
46349,ELECTRICAL SYSTEM
188871,ENGINE
124140,FORWARD COLLISION AVOIDANCE
270296,SERVICE BRAKES
145547,STEERING
247059,EXTERIOR LIGHTING
